,property_ref,scraped_at,bedrooms,bathrooms,type,area,sub_area,has_bq,is_furnished,in_estate,security,serviced,luxury_features,price
10282,3419685,2026-04-16 00:44:01.170861+00:00,4,4,duplex,Lekki,Ikota,False,False,True,True,True,0,12000000.0
10283,3419684,2026-04-16 00:44:01.173528+00:00,3,3,flat,Lekki,Ikate,False,True,False,True,True,0,12000000.0
10284,3419678,2026-04-16 00:44:01.176307+00:00,3,3,flat,Lekki,Lekki Phase 1,False,False,True,True,True,3,22500000.0
10285,3419619,2026-04-16 00:44:01.181689+00:00,2,2,flat,Ajah,Ogombo,False,False,True,True,True,0,3000000.0
10286,3419613,2026-04-16 00:44:16.983888+00:00,2,2,flat,Ajah,Abraham,False,False,False,False,True,0,4000000.0
10287,3419608,2026-04-16 00:44:16.986803+00:00,3,3,flat,Ajah,Abraham,False,False,False,False,True,0,4500000.0
10288,3419602,2026-04-16 00:44:16.992701+00:00,1,1,studio,Ajah,Ilaje,False,False,False,False,True,0,1500000.0
10289,3419554,2026-04-16 00:44:17.004183+00:00,2,2,flat,Lekki,Ikate,False,False,False,False,True,0,9000000.0
10290,3419486,2026-04-16 00:44:17.007049+00:00,3,2,flat,Ikeja,Ikeja,False,False,False,True,True,1,20000000.0
10291,3419539,2026-04-16 00:44:17.009885+00:00,1,1,mini-flat,Ajah,Sangotedo,False,False,True,True,True,0,1500000.0
10292,3419531,2026-04-16 00:44:17.013081+00:00,1,1,flat,Lekki,Chevyview Estate,False,False,True,True,False,0,5000000.0
10293,3419521,2026-04-16 00:44:17.016456+00:00,4,4,terrace,Victoria Island (VI),Oniru,False,False,True,True,True,1,40000000.0
10294,3419503,2026-04-16 00:44:17.019582+00:00,5,5,duplex,Lekki,Ikate,True,False,True,True,True,0,35000000.0
10295,3419438,2026-04-16 00:44:17.023941+00:00,4,4,mini-flat,Ajah,Sangotedo,False,False,False,True,False,0,6000000.0
10296,3419436,2026-04-16 00:44:17.025551+00:00,3,3,flat,Lekki,Chevron,False,False,False,False,True,0,7000000.0
10297,3414978,2026-04-16 00:44:17.028951+00:00,3,3,terrace,Ajah,Sangotedo,False,False,True,True,True,1,5500000.0
